title,year,director,cast,imdb_rating
Ordinary People,1980,Robert Redford,"Donald Sutherland, Mary Tyler Moore",7.8
The Dirty Dozen,1967,Robert Aldrich,"Lee Marvin, Ernest Borgnine",7.8
Rebel Without a Cause,1955,Nicholas Ray,"James Dean, Natalie Wood",7.8
Miller's Crossing,1990,Joel Coen,"Gabriel Byrne, Albert Finney",7.8
The Day of the Jackal,1973,Fred Zinnemann,"Edward Fox, Terence Alexander",7.8
Hamlet,1996,Kenneth Branagh,"Kenneth Branagh, Julie Christie",7.8
Pride,I) (2014,Matthew Warchus,"Bill Nighy, Imelda Staunton",7.8
Kramer vs. Kramer,1979,Robert Benton,"Dustin Hoffman, Meryl Streep",7.8
Cabaret,1972,Bob Fosse,"Liza Minnelli, Michael York",7.8
The Verdict,1982,Sidney Lumet,"Paul Newman, Charlotte Rampling",7.8
The Last Emperor,1987,Bernardo Bertolucci,"John Lone, Joan Chen",7.8
The Man from Nowhere,2010,Jeong-beom Lee,"Bin Won, Sae-ron Kim",7.8
The Longest Day,1962,Ken Annakin,"John Wayne, Robert Ryan",7.8
Happiness,1998,Todd Solondz,"Jane Adams, Jon Lovitz",7.8
October Sky,1999,Joe Johnston,"Jake Gyllenhaal, Chris Cooper",7.8
The Broken Circle Breakdown,2012,Felix Van Groeningen,"Veerle Baetens, Johan Heldenbergh",7.8
The King of Comedy,1982,Martin Scorsese,"Robert De Niro, Jerry Lewis",7.8
Black Book,2006,Paul Verhoeven,"Carice van Houten, Sebastian Koch",7.8
Open Your Eyes,1997,Alejandro Amenábar,"Eduardo Noriega, Penélope Cruz",7.8
"South Park: Bigger, Longer & Uncut",1999,Trey Parker,"Trey Parker, Matt Stone",7.8
Waking Life,2001,Richard Linklater,"Ethan Hawke, Trevor Jack Brooks",7.8
Kaze tachinu,2013,Hayao Miyazaki,"Hideaki Anno, Hidetoshi Nishijima",7.8
Zulu,1964,Cy Endfield,"Stanley Baker, Jack Hawkins",7.8
Belle de Jour,1967,Luis Buñuel,"Catherine Deneuve, Jean Sorel",7.8
The White Ribbon,2009,Michael Haneke,"Christian Friedel, Ernst Jacobi",7.8
Fantasia,1940,James Algar,"Leopold Stokowski, Deems Taylor",7.8
The Day the Earth Stood Still,1951,Robert Wise,"Michael Rennie, Patricia Neal",7.8
The Motorcycle Diaries,2004,Walter Salles,"Gael García Bernal, Rodrigo De la Serna",7.8
In America,2002,Jim Sheridan,"Paddy Considine, Samantha Morton",7.8
Mother,2009,Joon-ho Bong,"Hye-ja Kim, Bin Won",7.8
Death Note,2006,Shûsuke Kaneko,"Tatsuya Fujiwara, Ken'ichi Matsuyama",7.8
The Tenant,1976,Roman Polanski,"Roman Polanski, Isabelle Adjani",7.8
Withnail & I,1987,Bruce Robinson,"Richard E. Grant, Paul McGann",7.8
Toki o kakeru shôjo,2006,Mamoru Hosoda,"Riisa Naka, Takuya Ishida",7.8
Repulsion,1965,Roman Polanski,"Catherine Deneuve, Ian Hendry",7.8
Porco Rosso,1992,Hayao Miyazaki,"Shûichirô Moriyama, Tokiko Katô",7.8
The Lunchbox,2013,Ritesh Batra,"Irrfan Khan, Nimrat Kaur",7.8
Night on Earth,1991,Jim Jarmusch,"Winona Ryder, Gena Rowlands",7.8
Invasion of the Body Snatchers,1956,Don Siegel,"Kevin McCarthy, Dana Wynter",7.8
The World's Fastest Indian,2005,Roger Donaldson,"Anthony Hopkins, Diane Ladd",7.8
The Vanishing,1988,George Sluizer,"Bernard-Pierre Donnadieu, Gene Bervoets",7.8
Down by Law,1986,Jim Jarmusch,"Tom Waits, John Lurie",7.8
The 39 Steps,1935,Alfred Hitchcock,"Robert Donat, Madeleine Carroll",7.8
Hedwig and the Angry Inch,2001,John Cameron Mitchell,"John Cameron Mitchell, Miriam Shor",7.8
Le passé,2013,Asghar Farhadi,"Bérénice Bejo, Tahar Rahim",7.8
The Triplets of Belleville,2003,Sylvain Chomet,"Michèle Caucheteux, Jean-Claude Donda",7.8
Bir Zamanlar Anadolu'da,2011,Nuri Bilge Ceylan,"Muhammet Uzuner, Yilmaz Erdogan",7.8
Evil,2003,Mikael Håfström,"Andreas Wilson, Henrik Lundström",7.8
Adam's Apples,2005,Anders Thomas Jensen,"Ulrich Thomsen, Mads Mikkelsen",7.8
Love and Death,1975,Woody Allen,"Woody Allen, Diane Keaton",7.8
After the Wedding,2006,Susanne Bier,"Mads Mikkelsen, Sidse Babett Knudsen",7.8
Kokuhaku,2010,Tetsuya Nakashima,"Takako Matsu, Yoshino Kimura",7.8
Zelig,1983,Woody Allen,"Woody Allen, Mia Farrow",7.8
Vicky Donor,2012,Shoojit Sircar,"Ayushmann Khurrana, Yami Gautam",7.8
Phantom Thread,2017,Paul Thomas Anderson,"Vicky Krieps, Daniel Day-Lewis",7.7
Get Out,I) (2017,Jordan Peele,"Daniel Kaluuya, Allison Williams",7.7
Guardians of the Galaxy Vol. 2,2017,James Gunn,"Chris Pratt, Zoe Saldana",7.7
Baby Driver,2017,Edgar Wright,"Ansel Elgort, Jon Bernthal",7.7
The Florida Project,2017,Sean Baker,"Brooklynn Prince, Bria Vinaite",7.7
Ex Machina,2014,Alex Garland,"Alicia Vikander, Domhnall Gleeson",7.7
The Theory of Everything,2014,James Marsh,"Eddie Redmayne, Felicity Jones",7.7
Kingsman: The Secret Service,2014,Matthew Vaughn,"Colin Firth, Taron Egerton",7.7
300,2006,Zack Snyder,"Gerard Butler, Lena Headey",7.7
Wreck-It Ralph,2012,Rich Moore,"John C. Reilly, Jack McBrayer",7.7
Harry Potter and the Goblet of Fire,2005,Mike Newell,"Daniel Radcliffe, Emma Watson",7.7
The Social Network,2010,David Fincher,"Jesse Eisenberg, Andrew Garfield",7.7
The Fifth Element,1997,Luc Besson,"Bruce Willis, Milla Jovovich",7.7
Birdman or (The Unexpected Virtue of Ignorance),2014,Alejandro G. Iñárritu,"Michael Keaton, Zach Galifianakis",7.7
The Blind Side,2009,John Lee Hancock,"Quinton Aaron, Sandra Bullock",7.7
Harry Potter and the Deathly Hallows: Part 1,2010,David Yates,"Daniel Radcliffe, Emma Watson",7.7
Stardust,2007,Matthew Vaughn,"Charlie Cox, Claire Danes",7.7
Zodiac,2007,David Fincher,"Jake Gyllenhaal, Robert Downey Jr.",7.7
Dazed and Confused,1993,Richard Linklater,"Jason London, Wiley Wiggins",7.7
The Hangover,2009,Todd Phillips,"Zach Galifianakis, Bradley Cooper",7.7
Minority Report,2002,Steven Spielberg,"Tom Cruise, Colin Farrell",7.7
Zombieland,2009,Ruben Fleischer,"Jesse Eisenberg, Emma Stone",7.7
The Machinist,2004,Brad Anderson,"Christian Bale, Jennifer Jason Leigh",7.7
Black Hawk Down,2001,Ridley Scott,"Josh Hartnett, Ewan McGregor",7.7
The Birds,1963,Alfred Hitchcock,"Rod Taylor, Tippi Hedren",7.7
Brokeback Mountain,2005,Ang Lee,"Jake Gyllenhaal, Heath Ledger",7.7
Rushmore,1998,Wes Anderson,"Jason Schwartzman, Bill Murray",7.7
The Butterfly Effect,2004,Eric Bress,"Ashton Kutcher, Amy Smart",7.7
Breakfast at Tiffany's,1961,Blake Edwards,"Audrey Hepburn, George Peppard",7.7
Argo,2012,Ben Affleck,"Ben Affleck, Bryan Cranston",7.7
First Blood,1982,Ted Kotcheff,"Sylvester Stallone, Brian Dennehy",7.7
Who Framed Roger Rabbit,1988,Robert Zemeckis,"Bob Hoskins, Christopher Lloyd",7.7
A Few Good Men,1992,Rob Reiner,"Tom Cruise, Jack Nicholson",7.7
Midnight in Paris,2011,Woody Allen,"Owen Wilson, Rachel McAdams",7.7
Coraline,2009,Henry Selick,"Dakota Fanning, Teri Hatcher",7.7
Close Encounters of the Third Kind,1977,Steven Spielberg,"Richard Dreyfuss, François Truffaut",7.7
Training Day,2001,Antoine Fuqua,"Denzel Washington, Ethan Hawke",7.7
(500) Days of Summer,2009,Marc Webb,"Zooey Deschanel, Joseph Gordon-Levitt",7.7
Battle Royale,2000,Kinji Fukasaku,"Tatsuya Fujiwara, Aki Maeda",7.7
The Odd Couple,1968,Gene Saks,"Jack Lemmon, Walter Matthau",7.7
Deliverance,1972,John Boorman,"Jon Voight, Burt Reynolds",7.7
The Warriors,1979,Walter Hill,"Michael Beck, James Remar",7.7
Dead Man's Shoes,2004,Shane Meadows,"Paddy Considine, Gary Stretch",7.7
Y Tu Mamá También,2001,Alfonso Cuarón,"Maribel Verdú, Gael García Bernal",7.7
Primal Fear,1996,Gregory Hoblit,"Richard Gere, Laura Linney",7.7
The Last Samurai,2003,Edward Zwick,"Tom Cruise, Ken Watanabe",7.7
Man on Fire,2004,Tony Scott,"Denzel Washington, Christopher Walken",7.7
Gone Baby Gone,2007,Ben Affleck,"Morgan Freeman, Ed Harris",7.7
As Good as It Gets,1997,James L. Brooks,"Jack Nicholson, Helen Hunt",7.7
3:10 to Yuma,2007,James Mangold,"Russell Crowe, Christian Bale",7.7
Despicable Me,2010,Pierre Coffin,"Steve Carell, Jason Segel",7.7
Sense and Sensibility,1995,Ang Lee,"Emma Thompson, Kate Winslet",7.7
Ponyo,2008,Hayao Miyazaki,"Cate Blanchett, Matt Damon",7.7
Eastern Promises,2007,David Cronenberg,"Naomi Watts, Viggo Mortensen",7.7
Watership Down,1978,Martin Rosen,"John Hurt, Richard Briers",7.7
Fear and Loathing in Las Vegas,1998,Terry Gilliam,"Johnny Depp, Benicio Del Toro",7.7
50/50,2011,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen",7.7
Road to Perdition,2002,Sam Mendes,"Tom Hanks, Tyler Hoechlin",7.7
Philadelphia,1993,Jonathan Demme,"Tom Hanks, Denzel Washington",7.7
Billy Elliot,2000,Stephen Daldry,"Jamie Bell, Julie Walters",7.7
Dark City,1998,Alex Proyas,"Rufus Sewell, Kiefer Sutherland",7.7
Fried Green Tomatoes,1991,Jon Avnet,"Kathy Bates, Jessica Tandy",7.7
Flipped,I) (2010,Rob Reiner,"Madeline Carroll, Callan McAuliffe",7.7
Finding Neverland,2004,Marc Forster,"Johnny Depp, Kate Winslet",7.7
Adaptation.,2002,Spike Jonze,"Nicolas Cage, Meryl Streep",7.7
Goldfinger,1964,Guy Hamilton,"Sean Connery, Gert Fröbe",7.7
25th Hour,2002,Spike Lee,"Edward Norton, Barry Pepper",7.7
This Is England,2006,Shane Meadows,"Thomas Turgoose, Stephen Graham",7.7
Shane,1953,George Stevens,"Alan Ladd, Jean Arthur",7.7
Match Point,2005,Woody Allen,"Scarlett Johansson, Jonathan Rhys Meyers",7.7
Sophie's Choice,1982,Alan J. Pakula,"Meryl Streep, Kevin Kline",7.7
21 Grams,2003,Alejandro G. Iñárritu,"Sean Penn, Benicio Del Toro",7.7
Enter the Dragon,1973,Robert Clouse,"Bruce Lee, John Saxon",7.7
The Last King of Scotland,2006,Kevin Macdonald,"James McAvoy, Forest Whitaker",7.7
Blood Simple.,1984,Joel Coen,"John Getz, Frances McDormand",7.7
Sabrina,1954,Billy Wilder,"Humphrey Bogart, Audrey Hepburn",7.7
Victoria,II) (2015,Sebastian Schipper,"Laia Costa, Frederick Lau",7.7
Barton Fink,1991,Joel Coen,"John Turturro, John Goodman",7.7
Malcolm X,1992,Spike Lee,"Denzel Washington, Angela Bassett",7.7
Ray,I) (2004,Taylor Hackford,"Jamie Foxx, Regina King",7.7
Giant,1956,George Stevens,"Elizabeth Taylor, Rock Hudson",7.7
Star Trek II: The Wrath of Khan,1982,Nicholas Meyer,"William Shatner, Leonard Nimoy",7.7
A Man Called Ove,2015,Hannes Holm,"Rolf Lassgård, Bahar Pars",7.7
Nebraska,2013,Alexander Payne,"Bruce Dern, Will Forte",7.7
A Little Princess,1995,Alfonso Cuarón,"Liesel Matthews, Eleanor Bron",7.7
Frost/Nixon,2008,Ron Howard,"Frank Langella, Michael Sheen",7.7
Forbidden Planet,1956,Fred M. Wilcox,"Walter Pidgeon, Anne Francis",7.7
Dead Man,1995,Jim Jarmusch,"Johnny Depp, Gary Farmer",7.7
Kelly's Heroes,1970,Brian G. Hutton,"Clint Eastwood, Telly Savalas",7.7
Good Bye Lenin!,2003,Wolfgang Becker,"Daniel Brühl, Katrin Saß",7.7
Run Lola Run,1998,Tom Tykwer,"Franka Potente, Moritz Bleibtreu",7.7
After Hours,1985,Martin Scorsese,"Griffin Dunne, Rosanna Arquette",7.7
5 Centimeters Per Second,2007,Makoto Shinkai,"Kenji Mizuhashi, Yoshimi Kondou",7.7
Control,2007,Anton Corbijn,"Sam Riley, Samantha Morton",7.7
Paprika,2006,Satoshi Kon,"Megumi Hayashibara, Tôru Emori",7.7
Where Eagles Dare,1968,Brian G. Hutton,"Richard Burton, Clint Eastwood",7.7
Mysterious Skin,2004,Gregg Araki,"Brady Corbet, Joseph Gordon-Levitt",7.7
The Producers,1967,Mel Brooks,"Zero Mostel, Gene Wilder",7.7
Shine,1996,Scott Hicks,"Geoffrey Rush, Armin Mueller-Stahl",7.7
From Here to Eternity,1953,Fred Zinnemann,"Burt Lancaster, Montgomery Clift",7.7
A Very Long Engagement,2004,Jean-Pierre Jeunet,"Audrey Tautou, Gaspard Ulliel",7.7
Love Me If You Dare,2003,Yann Samuell,"Guillaume Canet, Marion Cotillard",7.7
Short Cuts,1993,Robert Altman,"Andie MacDowell, Julianne Moore",7.7
Detachment,2011,Tony Kaye,"Adrien Brody, Christina Hendricks",7.7
A Bittersweet Life,2005,Jee-woon Kim,"Byung-hun Lee, Min-a Shin",7.7
The Secret of Kells,2009,Tomm Moore,"Evan McGuire, Brendan Gleeson",7.7
Interstate 60: Episodes of the Road,2002,Bob Gale,"James Marsden, Gary Oldman",7.7
Henry V,1989,Kenneth Branagh,"Kenneth Branagh, Derek Jacobi",7.7
The Station Agent,2003,Tom McCarthy,"Peter Dinklage, Patricia Clarkson",7.7
Three Colors: White,1994,Krzysztof Kieslowski,"Zbigniew Zamachowski, Julie Delpy",7.7
Fearless,2006,Ronny Yu,"Jet Li, Li Sun",7.7
Sympathy for Mr. Vengeance,2002,Chan-wook Park,"Kang-ho Song, Ha-kyun Shin",7.7
Delicatessen,1991,Marc Caro,"Marie-Laure Dougnac, Dominique Pinon",7.7
Celda 211,2009,Daniel Monzón,"Luis Tosar, Alberto Ammann",7.7
The Experiment,2001,Oliver Hirschbiegel,"Moritz Bleibtreu, Christian Berkel",7.7
The Visitor,I) (2007,Tom McCarthy,"Richard Jenkins, Haaz Sleiman",7.7
The Purple Rose of Cairo,1985,Woody Allen,"Mia Farrow, Jeff Daniels",7.7
The Red Violin,1998,François Girard,"Carlo Cecchi, Jean-Luc Bideau",7.7
A Hard Day's Night,1964,Richard Lester,"John Lennon, Paul McCartney",7.7
Il Postino,1994,Michael Radford,"Massimo Troisi, Philippe Noiret",7.7
Boy A,2007,John Crowley,"Andrew Garfield, Peter Mullan",7.7
In a Better World,2010,Susanne Bier,"Mikael Persbrandt, Trine Dyrholm",7.7
The Muppet Christmas Carol,1992,Brian Henson,"Michael Caine, Dave Goelz",7.7
Le Dîner de Cons,1998,Francis Veber,"Thierry Lhermitte, Jacques Villeret",7.7
Vampire Hunter D: Bloodlust,2000,Yoshiaki Kawajiri,"Andrew Philpot, John Rafter Lee",7.7
The Barbarian Invasions,2003,Denys Arcand,"Rémy Girard, Dorothée Berryman",7.7
"I, Tonya",2017,Craig Gillespie,"Margot Robbie, Sebastian Stan",7.6
Lady Bird,2017,Greta Gerwig,"Saoirse Ronan, Laurie Metcalf",7.6
The Disaster Artist,2017,James Franco,"James Franco, Dave Franco",7.6
Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,"Daniel Radcliffe, Rupert Grint",7.6
Moana,I) (2016,Ron Clements,"Auli'i Cravalho, Dwayne Johnson",7.6
Sicario,2015,Denis Villeneuve,"Emily Blunt, Josh Brolin",7.6
The Big Sick,2017,Michael Showalter,"Kumail Nanjiani, Zoe Kazan",7.6
Fury,2014,David Ayer,"Brad Pitt, Shia LaBeouf",7.6
Watchmen,2009,Zack Snyder,"Jackie Earle Haley, Patrick Wilson",7.6
Les Misérables,2012,Tom Hooper,"Hugh Jackman, Russell Crowe",7.6
Bridge of Spies,2015,Steven Spielberg,"Tom Hanks, Mark Rylance",7.6
Superbad,2007,Greg Mottola,"Michael Cera, Jonah Hill",7.6
What We Do in the Shadows,2014,Jemaine Clement,"Jemaine Clement, Taika Waititi",7.6
Gifted,2017,Marc Webb,"Chris Evans, Mckenna Grace",7.6
Apollo 13,I) (1995,Ron Howard,"Tom Hanks, Bill Paxton",7.6
Creed,2015,Ryan Coogler,"Michael B. Jordan, Sylvester Stallone",7.6
Hell or High Water,II) (2016,David Mackenzie,"Chris Pine, Ben Foster",7.6
Sherlock Holmes,2009,Guy Ritchie,"Robert Downey Jr., Jude Law",7.6
The Royal Tenenbaums,2001,Wes Anderson,"Gene Hackman, Gwyneth Paltrow",7.6
West Side Story,1961,Jerome Robbins,"Natalie Wood, George Chakiris",7.6
Harry Potter and the Half-Blood Prince,2009,David Yates,"Daniel Radcliffe, Emma Watson",7.6
Batman,1989,Tim Burton,"Michael Keaton, Jack Nicholson",7.6
The Little Mermaid,1989,Ron Clements,"Jodi Benson, Samuel E. Wright",7.6
Indiana Jones and the Temple of Doom,1984,Steven Spielberg,"Harrison Ford, Kate Capshaw",7.6
Love Actually,2003,Richard Curtis,"Hugh Grant, Martine McCutcheon",7.6
American Psycho,2000,Mary Harron,"Christian Bale, Justin Theroux",7.6
The Town,2010,Ben Affleck,"Ben Affleck, Rebecca Hall",7.6
The Godfather: Part III,1990,Francis Ford Coppola,"Al Pacino, Diane Keaton",7.6
Mulan,1998,Tony Bancroft,"Ming-Na Wen, Eddie Murphy",7.6
Star Wars: Episode III - Revenge of the Sith,2005,George Lucas,"Hayden Christensen, Natalie Portman",7.6
Kick-Ass,2010,Matthew Vaughn,"Aaron Taylor-Johnson, Nicolas Cage",7.6
Animal House,1978,John Landis,"John Belushi, Karen Allen",7.6
An American Werewolf in London,1981,John Landis,"David Naughton, Jenny Agutter",7.6
True Grit,2010,Ethan Coen,"Jeff Bridges, Matt Damon",7.6
28 Days Later...,2002,Danny Boyle,"Cillian Murphy, Naomie Harris",7.6
The Hurt Locker,2008,Kathryn Bigelow,"Jeremy Renner, Anthony Mackie",7.6
The Illusionist,2006,Neil Burger,"Edward Norton, Jessica Biel",7.6
Moneyball,2011,Bennett Miller,"Brad Pitt, Robin Wright",7.6
Moulin Rouge!,2001,Baz Luhrmann,"Nicole Kidman, Ewan McGregor",7.6
The Impossible,2012,J.A. Bayona,"Naomi Watts, Ewan McGregor",7.6
The Reader,2008,Stephen Daldry,"Kate Winslet, Ralph Fiennes",7.6
The Thin Red Line,1998,Terrence Malick,"Jim Caviezel, Sean Penn",7.6
Inside Man,2006,Spike Lee,"Denzel Washington, Clive Owen",7.6
Saw,2004,James Wan,"Cary Elwes, Leigh Whannell",7.6
The Hunt for Red October,1990,John McTiernan,"Sean Connery, Alec Baldwin",7.6
The Hours,2002,Stephen Daldry,"Meryl Streep, Nicole Kidman",7.6
Dawn of the Planet of the Apes,2014,Matt Reeves,"Gary Oldman, Keri Russell",7.6
Munich,2005,Steven Spielberg,"Eric Bana, Daniel Craig",7.6
Grindhouse,2007,Robert Rodriguez,"Kurt Russell, Rose McGowan",7.6
Blow,2001,Ted Demme,"Johnny Depp, Penélope Cruz",7.6
Interview with the Vampire: The Vampire Chronicles,1994,Neil Jordan,"Brad Pitt, Tom Cruise",7.6
Lethal Weapon,1987,Richard Donner,"Mel Gibson, Danny Glover",7.6
Lolita,1962,Stanley Kubrick,"James Mason, Shelley Winters",7.6
Kung Fu Panda,2008,Mark Osborne,"Jack Black, Ian McShane",7.6
End of Watch,2012,David Ayer,"Jake Gyllenhaal, Michael Peña",7.6
The Others,2001,Alejandro Amenábar,"Nicole Kidman, Christopher Eccleston",7.6
The Road Warrior,1981,George Miller,"Mel Gibson, Bruce Spence",7.6
Traffic,2000,Steven Soderbergh,"Michael Douglas, Benicio Del Toro",7.6
Sleepers,1996,Barry Levinson,"Robert De Niro, Kevin Bacon",7.6
Leaving Las Vegas,1995,Mike Figgis,"Nicolas Cage, Elisabeth Shue",7.6
Rise of the Planet of the Apes,2011,Rupert Wyatt,"James Franco, Andy Serkis",7.6
The Jungle Book,I) (1967,Wolfgang Reitherman,"Phil Harris, Sebastian Cabot",7.6
The Crow,1994,Alex Proyas,"Brandon Lee, Michael Wincott",7.6
The Body,2012,Oriol Paulo,"José Coronado, Hugo Silva",7.6
The Piano,1993,Jane Campion,"Holly Hunter, Harvey Keitel",7.6
The Last Temptation of Christ,1988,Martin Scorsese,"Willem Dafoe, Harvey Keitel",7.6
Snow White and the Seven Dwarfs,1937,William Cottrell,"Adriana Caselotti, Harry Stockwell",7.6
Midnight Express,1978,Alan Parker,"Brad Davis, Irene Miracle",7.6
The Raid: Redemption,2011,Gareth Evans,"Iko Uwais, Ananda George",7.6
Escape from Alcatraz,1979,Don Siegel,"Clint Eastwood, Patrick McGoohan",7.6
127 Hours,2010,Danny Boyle,"James Franco, Amber Tamblyn",7.6
Tucker and Dale vs Evil,2010,Eli Craig,"Tyler Labine, Alan Tudyk",7.6
The Abyss,1989,James Cameron,"Ed Harris, Mary Elizabeth Mastrantonio",7.6
Milk,I) (2008,Gus Van Sant,"Sean Penn, Josh Brolin",7.6
Die Hard with a Vengeance,1995,John McTiernan,"Bruce Willis, Jeremy Irons",7.6
Army of Darkness,1992,Sam Raimi,"Bruce Campbell, Embeth Davidtz",7.6
A Fish Called Wanda,1988,Charles Crichton,"John Cleese, Jamie Lee Curtis",7.6
Seven Pounds,2008,Gabriele Muccino,"Will Smith, Rosario Dawson",7.6
Kiss Kiss Bang Bang,2005,Shane Black,"Robert Downey Jr., Val Kilmer",7.6
Enemy at the Gates,2001,Jean-Jacques Annaud,"Jude Law, Ed Harris",7.6
When Harry Met Sally...,1989,Rob Reiner,"Billy Crystal, Meg Ryan",7.6
MASH,1970,Robert Altman,"Donald Sutherland, Elliott Gould",7.6
Falling Down,1993,Joel Schumacher,"Michael Douglas, Robert Duvall",7.6
Lost Highway,1997,David Lynch,"Bill Pullman, Patricia Arquette",7.6
Romeo and Juliet,1968,Franco Zeffirelli,"Leonard Whiting, Olivia Hussey",7.6
Lord of War,2005,Andrew Niccol,"Nicolas Cage, Ethan Hawke",7.6
La piel que habito,2011,Pedro Almodóvar,"Antonio Banderas, Elena Anaya",7.6
National Lampoon's Christmas Vacation,1989,Jeremiah S. Chechik,"Chevy Chase, Beverly D'Angelo",7.6
The Wicker Man,1973,Robin Hardy,"Edward Woodward, Christopher Lee",7.6
Boys Don't Cry,1999,Kimberly Peirce,"Hilary Swank, Chloë Sevigny",7.6
I Am Sam,2001,Jessie Nelson,"Sean Penn, Michelle Pfeiffer",7.6
A Single Man,2009,Tom Ford,"Colin Firth, Julianne Moore",7.6
The Naked Gun: From the Files of Police Squad!,1988,David Zucker,"Leslie Nielsen, Priscilla Presley",7.6
Robin Hood,1973,Wolfgang Reitherman,"Brian Bedford, Phil Harris",7.6
Stranger Than Fiction,2006,Marc Forster,"Will Ferrell, Emma Thompson",7.6
A Royal Affair,2012,Nikolaj Arcel,"Alicia Vikander, Mads Mikkelsen",7.6
Dangerous Liaisons,1988,Stephen Frears,"Glenn Close, John Malkovich",7.6
Funny Games,1997,Michael Haneke,"Susanne Lothar, Ulrich Mühe",7.6
High Plains Drifter,1973,Clint Eastwood,"Clint Eastwood, Verna Bloom",7.6
Star Trek: First Contact,1996,Jonathan Frakes,"Patrick Stewart, Jonathan Frakes",7.6
The Book Thief,2013,Brian Percival,"Sophie Nélisse, Geoffrey Rush",7.6
Chaplin,1992,Richard Attenborough,"Robert Downey Jr., Geraldine Chaplin",7.6
The Life of David Gale,2003,Alan Parker,"Kevin Spacey, Kate Winslet",7.6
Midnight Run,1988,Martin Brest,"Robert De Niro, Charles Grodin",7.6
"Planes, Trains & Automobiles",1987,John Hughes,"Steve Martin, John Candy",7.6
The Omen,1976,Richard Donner,"Gregory Peck, Lee Remick",7.6
Thank You for Smoking,2005,Jason Reitman,"Aaron Eckhart, Cameron Bright",7.6
The Wave,2008,Dennis Gansel,"Jürgen Vogel, Frederick Lau",7.6
Blow-Up,1966,Michelangelo Antonioni,"David Hemmings, Vanessa Redgrave",7.6
La Vie en Rose,2007,Olivier Dahan,"Marion Cotillard, Sylvie Testud",7.6
Philomena,2013,Stephen Frears,"Judi Dench, Steve Coogan",7.6
The Player,1992,Robert Altman,"Tim Robbins, Greta Scacchi",7.6
The Fisher King,1991,Terry Gilliam,"Jeff Bridges, Robin Williams",7.6
The Big Blue,1988,Luc Besson,"Jean-Marc Barr, Jean Reno",7.6
Following,1998,Christopher Nolan,"Jeremy Theobald, Alex Haw",7.6
The Man Who Wasn't There,2001,Joel Coen,"Billy Bob Thornton, Frances McDormand",7.6
Hunger,2008,Steve McQueen,"Stuart Graham, Laine Megaw",7.6
The Secret World of Arrietty,2010,Hiromasa Yonebayashi,"Bridgit Mendler, Amy Poehler",7.6
Leviathan,2014,Andrey Zvyagintsev,"Aleksey Serebryakov, Elena Lyadova",7.6
House of Sand and Fog,2003,Vadim Perelman,"Jennifer Connelly, Ben Kingsley",7.6
The Great Debaters,2007,Denzel Washington,"Denzel Washington, Forest Whitaker",7.6
The Secret of NIMH,1982,Don Bluth,"Elizabeth Hartman, Derek Jacobi",7.6
The Kite Runner,2007,Marc Forster,"Khalid Abdalla, Ahmad Khan Mahmoodzada",7.6
The Meaning of Life,1983,Terry Jones,"John Cleese, Terry Gilliam",7.6
Volver,I) (2006,Pedro Almodóvar,"Penélope Cruz, Carmen Maura",7.6
The Time Machine,1960,George Pal,"Rod Taylor, Alan Young",7.6
United 93,2006,Paul Greengrass,"David Alan Basche, Olivia Thirlby",7.6
Little Big Man,1970,Arthur Penn,"Dustin Hoffman, Faye Dunaway",7.6
Mustang,2015,Deniz Gamze Ergüven,"Günes Sensoy, Doga Zeynep Doguslu",7.6
Jûsan-nin no shikaku,2010,Takashi Miike,"Kôji Yakusho, Takayuki Yamada",7.6
Hodejegerne,2011,Morten Tyldum,"Aksel Hennie, Synnøve Macody Lund",7.6
Whale Rider,2002,Niki Caro,"Keisha Castle-Hughes, Rawiri Paratene",7.6
The Hurricane,1999,Norman Jewison,"Denzel Washington, Vicellous Shannon",7.6
The City of Lost Children,1995,Marc Caro,"Ron Perlman, Daniel Emilfork",7.6
Radio Days,1987,Woody Allen,"Mia Farrow, Dianne Wiest",7.6
Disconnect,I) (2012,Henry Alex Rubin,"Jason Bateman, Jonah Bobo",7.6
Lady Vengeance,2005,Chan-wook Park,"Yeong-ae Lee, Min-sik Choi",7.6
House of Flying Daggers,2004,Yimou Zhang,"Ziyi Zhang, Takeshi Kaneshiro",7.6
Picnic at Hanging Rock,1975,Peter Weir,"Rachel Roberts, Anne-Louise Lambert",7.6
Dracula,1931,Tod Browning,"Bela Lugosi, Helen Chandler",7.6
The Guns of Navarone,1961,J. Lee Thompson,"David Niven, Gregory Peck",7.6
Ip Man 2,2010,Wilson Yip,"Donnie Yen, Xiaoming Huang",7.6
Nosferatu the Vampyre,1979,Werner Herzog,"Klaus Kinski, Isabelle Adjani",7.6
The Many Adventures of Winnie the Pooh,1977,John Lounsbery,"Sebastian Cabot, Junius Matthews",7.6
Spellbound,1945,Alfred Hitchcock,"Ingrid Bergman, Gregory Peck",7.6
Stranger Than Paradise,1984,Jim Jarmusch,"John Lurie, Eszter Balint",7.6
The Party,1968,Blake Edwards,"Peter Sellers, Claudine Longet",7.6
The Muppet Movie,1979,James Frawley,"Jim Henson, Frank Oz",7.6
Jin ling shi san chai,2011,Yimou Zhang,"Christian Bale, Ni Ni",7.6
