title,year,director,cast,imdb_rating
Sherlock Jr.,1924,Buster Keaton,"Buster Keaton, Kathryn McGuire",8.3
Bhaag Milkha Bhaag,2013,Rakeysh Omprakash Mehra,"Farhan Akhtar, Sonam Kapoor",8.3
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,"Frances McDormand, Woody Harrelson",8.2
The Wolf of Wall Street,2013,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill",8.2
Blade Runner,1982,Ridley Scott,"Harrison Ford, Rutger Hauer",8.2
Hacksaw Ridge,2016,Mel Gibson,"Andrew Garfield, Sam Worthington",8.2
Room,I) (2015,Lenny Abrahamson,"Brie Larson, Jacob Tremblay",8.2
Inside Out,I) (2015,Pete Docter,"Amy Poehler, Bill Hader",8.2
Pan's Labyrinth,2006,Guillermo del Toro,"Ivana Baquero, Ariadna Gil",8.2
Die Hard,1988,John McTiernan,"Bruce Willis, Alan Rickman",8.2
The Big Lebowski,1998,Joel Coen,"Jeff Bridges, John Goodman",8.2
Casino,1995,Martin Scorsese,"Robert De Niro, Sharon Stone",8.2
Heat,1995,Michael Mann,"Al Pacino, Robert De Niro",8.2
Gone with the Wind,1939,Victor Fleming,"Clark Gable, Vivien Leigh",8.2
V for Vendetta,2005,James McTeigue,"Hugo Weaving, Natalie Portman",8.2
Trainspotting,1996,Danny Boyle,"Ewan McGregor, Ewen Bremner",8.2
A Beautiful Mind,2001,Ron Howard,"Russell Crowe, Ed Harris",8.2
Warrior,2011,Gavin O'Connor,"Tom Hardy, Nick Nolte",8.2
The Deer Hunter,1978,Michael Cimino,"Robert De Niro, Christopher Walken",8.2
Downfall,2004,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara",8.2
Unforgiven,1992,Clint Eastwood,"Clint Eastwood, Gene Hackman",8.2
On the Waterfront,1954,Elia Kazan,"Marlon Brando, Karl Malden",8.2
"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,"Jason Flemyng, Dexter Fletcher",8.2
Howl's Moving Castle,2004,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura",8.2
Incendies,2010,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin",8.2
The Secret in Their Eyes,2009,Juan José Campanella,"Ricardo Darín, Soledad Villamil",8.2
The Great Escape,1963,John Sturges,"Steve McQueen, James Garner",8.2
Raging Bull,1980,Martin Scorsese,"Robert De Niro, Cathy Moriarty",8.2
My Neighbor Totoro,1988,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka",8.2
The Elephant Man,1980,David Lynch,"Anthony Hopkins, John Hurt",8.2
Chinatown,1974,Roman Polanski,"Jack Nicholson, Faye Dunaway",8.2
Come and See,1985,Elem Klimov,"Aleksey Kravchenko, Olga Mironova",8.2
The Seventh Seal,1957,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand",8.2
The Bridge on the River Kwai,1957,David Lean,"William Holden, Alec Guinness",8.2
The Third Man,1949,Carol Reed,"Orson Welles, Joseph Cotten",8.2
Rebecca,1940,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine",8.2
Lagaan: Once Upon a Time in India,2001,Ashutosh Gowariker,"Aamir Khan, Raghuvir Yadav",8.2
Dial M for Murder,1954,Alfred Hitchcock,"Ray Milland, Grace Kelly",8.2
Ran,1985,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao",8.2
Gangs of Wasseypur,2012,Anurag Kashyap,"Manoj Bajpayee, Richa Chadha",8.2
Andrei Rublev,1966,Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov",8.2
Judgment at Nuremberg,1961,Stanley Kramer,"Spencer Tracy, Burt Lancaster",8.2
A Wednesday,2008,Neeraj Pandey,"Anupam Kher, Naseeruddin Shah",8.2
Bahubali: The Beginning,2015,S.S. Rajamouli,"Prabhas, Rana Daggubati",8.2
PK,2014,Rajkumar Hirani,"Aamir Khan, Anushka Sharma Kohli",8.2
Wild Strawberries,1957,Ingmar Bergman,"Victor Sjöström, Bibi Andersson",8.2
Mr. Smith Goes to Washington,1939,Frank Capra,"James Stewart, Jean Arthur",8.2
The Passion of Joan of Arc,1928,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain",8.2
Ookami kodomo no Ame to Yuki,2012,Mamoru Hosoda,"Aoi Miyazaki, Takao Ohsawa",8.2
Kis Uykusu,2014,Nuri Bilge Ceylan,"Haluk Bilginer, Melisa Sözen",8.2
Sunrise,1927,F.W. Murnau,"George O'Brien, Janet Gaynor",8.2
The Wages of Fear,1953,Henri-Georges Clouzot,"Yves Montand, Charles Vanel",8.2
Tokyo Story,1953,Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama",8.2
Pink,III) (2016,Aniruddha Roy Chowdhury,"Tapsee Pannu, Kirti Kulhari",8.2
The General,1926,Clyde Bruckman,"Buster Keaton, Marion Mack",8.2
Dil Chahta Hai,2001,Farhan Akhtar,"Aamir Khan, Saif Ali Khan",8.2
Kahaani,2012,Sujoy Ghosh,"Vidya Balan, Parambrata Chatterjee",8.2
The Gold Rush,1925,Charles Chaplin,"Charles Chaplin, Mack Swain",8.2
Black,2005,Sanjay Leela Bhansali,"Amitabh Bachchan, Rani Mukerji",8.2
Haider,2014,Vishal Bhardwaj,"Shahid Kapoor, Tabu",8.2
The Message,1976,Moustapha Akkad,"Anthony Quinn, Irene Papas",8.2
Sholay,1975,Ramesh Sippy,"Dharmendra, Sanjeev Kumar",8.2
Chak de! India,2007,Shimit Amin,"Shah Rukh Khan, Vidya Malvade",8.2
Paan Singh Tomar,2012,Tigmanshu Dhulia,"Irrfan Khan, Ravi Bhushan Bhartiya",8.2
Dilwale Dulhania Le Jayenge,1995,Aditya Chopra,"Shah Rukh Khan, Kajol",8.2
OMG: Oh My God!,2012,Umesh Shukla,"Paresh Rawal, Mithun Chakraborty",8.2
Hera Pheri,2000,Priyadarshan,"Akshay Kumar, Paresh Rawal",8.2
Munna Bhai M.B.B.S.,2003,Rajkumar Hirani,"Sunil Dutt, Sanjay Dutt",8.2
Andaz Apna Apna,1994,Rajkumar Santoshi,"Aamir Khan, Salman Khan",8.2
Udaan,2010,Vikramaditya Motwane,"Rajat Barmecha, Sanjay Gandhi",8.2
Nefes: Vatan Sagolsun,2009,Levent Semerci,"Mete Horozoglu, Ilker Kizmaz",8.2
Blade Runner 2049,2017,Denis Villeneuve,"Harrison Ford, Ryan Gosling",8.1
Guardians of the Galaxy,2014,James Gunn,"Chris Pratt, Vin Diesel",8.1
Logan,2017,James Mangold,"Hugh Jackman, Patrick Stewart",8.1
The Avengers,2012,Joss Whedon,"Robert Downey Jr., Chris Evans",8.1
Mad Max: Fury Road,2015,George Miller,"Tom Hardy, Charlize Theron",8.1
Gone Girl,2014,David Fincher,"Ben Affleck, Rosamund Pike",8.1
Prisoners,2013,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal",8.1
The Grand Budapest Hotel,2014,Wes Anderson,"Ralph Fiennes, F. Murray Abraham",8.1
La La Land,I) (2016,Damien Chazelle,"Ryan Gosling, Emma Stone",8.1
Stand by Me,1986,Rob Reiner,"Wil Wheaton, River Phoenix",8.1
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,"Daniel Radcliffe, Emma Watson",8.1
Jurassic Park,1993,Steven Spielberg,"Sam Neill, Laura Dern",8.1
The Help,2011,Tate Taylor,"Emma Stone, Viola Davis",8.1
No Country for Old Men,2007,Ethan Coen,"Tommy Lee Jones, Javier Bardem",8.1
The Princess Bride,1987,Rob Reiner,"Cary Elwes, Mandy Patinkin",8.1
Fargo,1996,Joel Coen,"William H. Macy, Frances McDormand",8.1
Spotlight,I) (2015,Tom McCarthy,"Mark Ruffalo, Michael Keaton",8.1
Kill Bill: Vol. 1,2003,Quentin Tarantino,"Uma Thurman, David Carradine",8.1
Donnie Darko,2001,Richard Kelly,"Jake Gyllenhaal, Jena Malone",8.1
There Will Be Blood,2007,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano",8.1
The Thing,1982,John Carpenter,"Kurt Russell, Wilford Brimley",8.1
Shutter Island,2010,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer",8.1
Catch Me If You Can,2002,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks",8.1
Lion,2016,Garth Davis,"Dev Patel, Nicole Kidman",8.1
Rush,I) (2013,Ron Howard,"Daniel Brühl, Chris Hemsworth",8.1
Into the Wild,2007,Sean Penn,"Emile Hirsch, Vince Vaughn",8.1
Contratiempo,2016,Oriol Paulo,"Mario Casas, Ana Wagener",8.1
"Monsters, Inc.",2001,Pete Docter,"Billy Crystal, John Goodman",8.1
The Truman Show,1998,Peter Weir,"Jim Carrey, Ed Harris",8.1
12 Years a Slave,2013,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams",8.1
Finding Nemo,2003,Andrew Stanton,"Albert Brooks, Ellen DeGeneres",8.1
The Sixth Sense,1999,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment",8.1
Dead Poets Society,1989,Peter Weir,"Robin Williams, Robert Sean Leonard",8.1
Rocky,1976,John G. Avildsen,"Sylvester Stallone, Talia Shire",8.1
How to Train Your Dragon,2010,Dean DeBlois,"Jay Baruchel, Gerard Butler",8.1
Ben-Hur,1959,William Wyler,"Charlton Heston, Jack Hawkins",8.1
Ah-ga-ssi,2016,Chan-wook Park,"Min-hee Kim, Jung-woo Ha",8.1
Stalker,1979,Andrei Tarkovsky,"Alisa Freyndlikh, Aleksandr Kaydanovskiy",8.1
Million Dollar Baby,2004,Clint Eastwood,"Hilary Swank, Clint Eastwood",8.1
Platoon,1986,Oliver Stone,"Charlie Sheen, Tom Berenger",8.1
Gran Torino,2008,Clint Eastwood,"Clint Eastwood, Bee Vang",8.1
Life of Brian,1979,Terry Jones,"Graham Chapman, John Cleese",8.1
Cool Hand Luke,1967,Stuart Rosenberg,"Paul Newman, George Kennedy",8.1
Relatos salvajes,2014,Damián Szifron,"Darío Grandinetti, María Marull",8.1
Hachi: A Dog's Tale,2009,Lasse Hallström,"Richard Gere, Joan Allen",8.1
Before Sunrise,1995,Richard Linklater,"Ethan Hawke, Julie Delpy",8.1
Barry Lyndon,1975,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson",8.1
Akira,1988,Katsuhiro Ôtomo,"Mitsuo Iwata, Nozomu Sasaki",8.1
Network,1976,Sidney Lumet,"Faye Dunaway, William Holden",8.1
Gandhi,1982,Richard Attenborough,"Ben Kingsley, John Gielgud",8.1
Solaris,1972,Andrei Tarkovsky,"Natalya Bondarchuk, Donatas Banionis",8.1
